Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2023-10-30
.abogado,generic,Top Level Domain Holdings Limited,2023-10-30
.academy,generic,"Half Oaks, LLC",2023-10-30
.accountant,generic,dot Accountant Limited,2023-10-30
.accountants,generic,"Knob Town, LLC",2023-10-30
.active,generic,"The Active Network, Inc",2023-10-30
.actor,generic,United TLD Holdco Ltd.,2023-10-30
.ads,generic,Charleston Road Registry Inc.,2023-10-30
.adult,generic,ICM Registry AD LLC,2023-10-30
.afl,generic,Australian Football League,2023-10-30
.agency,generic,"Steel Falls, LLC",2023-10-30
.airforce,generic,United TLD Holdco Ltd.,2023-10-30
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2023-10-30
.alsace,generic,REGION D ALSACE,2023-10-30
.amsterdam,generic,Gemeente Amsterdam,2023-10-30
.android,generic,Charleston Road Registry Inc.,2023-10-30
.apartments,generic,"June Maple, LLC",2023-10-30
.aquarelle,generic,Aquarelle.com,2023-10-30
.archi,generic,STARTING DOT LIMITED,2023-10-30
.army,generic,United TLD Holdco Ltd.,2023-10-30
.associates,generic,"Baxter Hill, LLC",2023-10-30
.attorney,generic,"United TLD Holdco, Ltd",2023-10-30
.auction,generic,"United TLD HoldCo, Ltd.",2023-10-30
.audio,generic,"Uniregistry, Corp.",2023-10-30
.autos,generic,"DERAutos, LLC",2023-10-30
.axa,generic,AXA SA,2023-10-30
.band,generic,"United TLD Holdco, Ltd",2023-10-30
.bank,generic,"fTLD Registry Services, LLC",2023-10-30
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2023-10-30
.barclaycard,generic,Barclays Bank PLC,2023-10-30
.barclays,generic,Barclays Bank PLC,2023-10-30
.bargains,generic,"Half Hallow, LLC",2023-10-30
.bauhaus,generic,Werkhaus GmbH,2023-10-30
.bayern,generic,Bayern Connect GmbH,2023-10-30
.bbc,generic,British Broadcasting Corporation,2023-10-30
.beer,generic,Top Level Domain Holdings Limited,2023-10-30
.berlin,generic,dotBERLIN GmbH & Co. KG,2023-10-30
.best,generic,BestTLD Pty Ltd,2023-10-30
